dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
10,0.2,0.7,0.25031,0.25027,0.24777,0.25165
,,,,,,
10,0.6,0.7,0.25041,0.25114,0.25031,0.24814
,,,,,,
10,1,0.7,0.25231,0.25132,0.24817,0.2482
,,,,,,
11,0.2,0.1,0.25068,0.24846,0.24753,0.25333
,,,,,,
11,0.6,0.1,0.24838,0.25174,0.24695,0.25293
,,,,,,
11,1,0.1,0.25072,0.25009,0.251,0.24819
,,,,,,
11,0.2,0.4,0.24945,0.25151,0.25152,0.24752
,,,,,,
11,0.6,0.4,0.25094,0.25156,0.25243,0.24507
,,,,,,
11,1,0.4,0.2511,0.24966,0.24893,0.25031
,,,,,,
11,0.2,0.7,0.24866,0.25093,0.25057,0.24984
,,,,,,
11,0.6,0.7,0.24847,0.2516,0.2477,0.25223
,,,,,,
11,1,0.7,0.2515,0.24939,0.25057,0.24854
,,,,,,
12,0.2,0.1,0.24865,0.25065,0.25067,0.25003
,,,,,,
12,0.6,0.1,0.25079,0.25078,0.25048,0.24795
,,,,,,
12,1,0.1,0.2494,0.24903,0.25075,0.25082
,,,,,,
12,0.2,0.4,0.24664,0.25148,0.25162,0.25026
,,,,,,
12,0.6,0.4,0.25137,0.2522,0.24991,0.24652
,,,,,,
12,1,0.4,0.2502,0.24898,0.24907,0.25175
,,,,,,
12,0.2,0.7,0.25112,0.25064,0.24979,0.24845
,,,,,,
12,0.6,0.7,0.24976,0.24959,0.25161,0.24904
,,,,,,
12,1,0.7,0.24931,0.25235,0.24857,0.24977
,,,,,,
13,0.2,0.1,0.24861,0.24917,0.25111,0.25111
,,,,,,
13,0.6,0.1,0.25013,0.25117,0.24993,0.24877
,,,,,,
13,1,0.1,0.25022,0.24881,0.2516,0.24937
,,,,,,
13,0.2,0.4,0.24995,0.24915,0.2485,0.2524
,,,,,,
13,0.6,0.4,0.24982,0.25057,0.25035,0.24926
,,,,,,
13,1,0.4,0.24928,0.24886,0.25045,0.25141
,,,,,,
13,0.2,0.7,0.24963,0.24968,0.24964,0.25105
,,,,,,
