dimension,mutation rate,cross over rate,pxa,pxb,pxc,pxp
10,0.2,0.7,0.1923,0.28575,0.3062,0.21575
,,,,,,
10,0.6,0.7,0.19048,0.24058,0.30833,0.26061
,,,,,,
10,1,0.7,0.19453,0.19371,0.30698,0.30478
,,,,,,
11,0.2,0.1,0.24229,0.2538,0.25611,0.2478
,,,,,,
11,0.6,0.1,0.24003,0.24975,0.25531,0.25491
,,,,,,
11,1,0.1,0.24193,0.24187,0.25904,0.25716
,,,,,,
11,0.2,0.4,0.21749,0.27091,0.28402,0.22758
,,,,,,
11,0.6,0.4,0.2168,0.24283,0.28518,0.25519
,,,,,,
11,1,0.4,0.21792,0.21626,0.28175,0.28407
,,,,,,
11,0.2,0.7,0.19154,0.28434,0.30891,0.21521
,,,,,,
11,0.6,0.7,0.19044,0.23778,0.30659,0.26519
,,,,,,
11,1,0.7,0.19145,0.18973,0.309,0.30982
,,,,,,
12,0.2,0.1,0.24026,0.25549,0.25933,0.24492
,,,,,,
12,0.6,0.1,0.24254,0.24916,0.2584,0.2499
,,,,,,
12,1,0.1,0.2407,0.24046,0.25832,0.26052
,,,,,,
12,0.2,0.4,0.21417,0.27084,0.28442,0.23057
,,,,,,
12,0.6,0.4,0.21814,0.24406,0.28334,0.25446
,,,,,,
12,1,0.4,0.21694,0.21606,0.28211,0.28489
,,,,,,
12,0.2,0.7,0.19277,0.28671,0.30806,0.21246
,,,,,,
12,0.6,0.7,0.19234,0.23737,0.30906,0.26123
,,,,,,
12,1,0.7,0.19028,0.19239,0.30818,0.30915
,,,,,,
13,0.2,0.1,0.24065,0.2548,0.25888,0.24567
,,,,,,
13,0.6,0.1,0.24151,0.2494,0.25826,0.25083
,,,,,,
13,1,0.1,0.24198,0.24039,0.25925,0.25838
,,,,,,
13,0.2,0.4,0.21777,0.26858,0.28243,0.23122
,,,,,,
13,0.6,0.4,0.21516,0.2442,0.28282,0.25782
,,,,,,
13,1,0.4,0.21602,0.2163,0.28449,0.28319
,,,,,,
13,0.2,0.7,0.19111,0.28506,0.30701,0.21682
,,,,,,
13,0.6,0.7,0.19074,0.23844,0.31021,0.26061
,,,,,,
13,1,0.7,0.19156,0.18987,0.31006,0.30851
,,,,,,
14,0.2,0.1,0.24248,0.254,0.2583,0.24522
,,,,,,
14,0.6,0.1,0.2417,0.24941,0.25701,0.25188
,,,,,,
14,1,0.1,0.24129,0.24025,0.25924,0.25922
,,,,,,
14,0.2,0.4,0.21643,0.26734,0.28584,0.23039
,,,,,,
14,0.6,0.4,0.21625,0.24493,0.28064,0.25818
,,,,,,
14,1,0.4,0.21627,0.21784,0.28356,0.28233
,,,,,,
14,0.2,0.7,0.18894,0.28577,0.31196,0.21333
,,,,,,
14,0.6,0.7,0.19177,0.23707,0.30988,0.26128
,,,,,,
14,1,0.7,0.19138,0.19266,0.30906,0.3069
,,,,,,
15,0.2,0.1,0.24311,0.2552,0.25723,0.24446
,,,,,,
15,0.6,0.1,0.24015,0.24846,0.26151,0.24988
,,,,,,
15,1,0.1,0.2419,0.24107,0.25712,0.25991
,,,,,,
15,0.2,0.4,0.21419,0.27137,0.2843,0.23014
,,,,,,
15,0.6,0.4,0.21466,0.24397,0.28359,0.25778
,,,,,,
15,1,0.4,0.21551,0.21703,0.28331,0.28415
,,,,,,
15,0.2,0.7,0.19187,0.28545,0.30826,0.21442
,,,,,,
15,0.6,0.7,0.19245,0.23771,0.30977,0.26007
,,,,,,
15,1,0.7,0.1925,0.19107,0.30928,0.30715
,,,,,,
16,0.2,0.1,0.24121,0.25499,0.25965,0.24415
,,,,,,
16,0.6,0.1,0.24236,0.24901,0.25644,0.25219
,,,,,,
16,1,0.1,0.24284,0.24054,0.25731,0.25931
,,,,,,
16,0.2,0.4,0.21596,0.27235,0.2827,0.22899
,,,,,,
16,0.6,0.4,0.21681,0.24223,0.28481,0.25615
,,,,,,
16,1,0.4,0.21755,0.21718,0.28311,0.28216
,,,,,,
16,0.2,0.7,0.19166,0.28296,0.31016,0.21522
,,,,,,
16,0.6,0.7,0.19071,0.23923,0.30895,0.26111
,,,,,,
16,1,0.7,0.19351,0.1897,0.30617,0.31062
,,,,,,
17,0.2,0.1,0.24055,0.25463,0.25862,0.2462
,,,,,,
17,0.6,0.1,0.24107,0.24665,0.25958,0.2527
,,,,,,
17,1,0.1,0.24188,0.23963,0.25932,0.25917
,,,,,,
17,0.2,0.4,0.21631,0.27163,0.2835,0.22856
,,,,,,
17,0.6,0.4,0.21678,0.24575,0.2816,0.25587
,,,,,,
17,1,0.4,0.21694,0.21797,0.28344,0.28165
,,,,,,
17,0.2,0.7,0.19109,0.28591,0.30671,0.21629
,,,,,,
17,0.6,0.7,0.19157,0.23937,0.30832,0.26074
,,,,,,
17,1,0.7,0.19345,0.19181,0.30732,0.30742
,,,,,,
18,0.2,0.1,0.24143,0.25548,0.25713,0.24596
,,,,,,
18,0.6,0.1,0.23995,0.25038,0.25728,0.25239
,,,,,,
18,1,0.1,0.24193,0.24126,0.25863,0.25818
,,,,,,
18,0.2,0.4,0.21723,0.27029,0.28334,0.22914
,,,,,,
18,0.6,0.4,0.21534,0.24405,0.28351,0.2571
,,,,,,
18,1,0.4,0.21575,0.21601,0.28318,0.28506
,,,,,,
18,0.2,0.7,0.19316,0.2819,0.30766,0.21728
,,,,,,
18,0.6,0.7,0.1914,0.23665,0.30999,0.26196
,,,,,,
18,1,0.7,0.19071,0.19372,0.30707,0.3085
,,,,,,
19,0.2,0.1,0.24113,0.25375,0.25943,0.24569
,,,,,,
19,0.6,0.1,0.23982,0.24861,0.25985,0.25172
,,,,,,
19,1,0.1,0.24128,0.24245,0.25884,0.25743
,,,,,,
19,0.2,0.4,0.21482,0.27211,0.28234,0.23073
,,,,,,
19,0.6,0.4,0.21715,0.24321,0.28272,0.25692
,,,,,,
19,1,0.4,0.21612,0.21566,0.28302,0.2852
,,,,,,
19,0.2,0.7,0.19049,0.28608,0.30845,0.21498
,,,,,,
19,0.6,0.7,0.19356,0.2385,0.30716,0.26078
,,,,,,
19,1,0.7,0.18943,0.19198,0.3086,0.30999
,,,,,,
20,0.2,0.1,0.24071,0.25772,0.25742,0.24415
,,,,,,
20,0.6,0.1,0.24148,0.24676,0.25847,0.25329
,,,,,,
20,1,0.1,0.24166,0.23944,0.25887,0.26003
,,,,,,
20,0.2,0.4,0.21638,0.26807,0.28397,0.23158
,,,,,,
20,0.6,0.4,0.21789,0.24506,0.28169,0.25536
,,,,,,
20,1,0.4,0.2165,0.21734,0.28202,0.28414
,,,,,,
20,0.2,0.7,0.18844,0.2874,0.31188,0.21228
,,,,,,
20,0.6,0.7,0.19079,0.23745,0.3087,0.26306
,,,,,,
20,1,0.7,0.19284,0.18926,0.3106,0.3073
,,,,,,
21,0.2,0.1,0.24167,0.25317,0.25835,0.24681
,,,,,,
21,0.6,0.1,0.24165,0.24703,0.26059,0.25073
,,,,,,
21,1,0.1,0.24106,0.24115,0.25939,0.2584
,,,,,,
21,0.2,0.4,0.21769,0.27133,0.28429,0.22669
,,,,,,
21,0.6,0.4,0.2149,0.24485,0.28128,0.25897
,,,,,,
21,1,0.4,0.21916,0.21497,0.28253,0.28334
,,,,,,
21,0.2,0.7,0.1921,0.28585,0.30657,0.21548
,,,,,,
21,0.6,0.7,0.19104,0.23953,0.30745,0.26198
,,,,,,
21,1,0.7,0.19076,0.192,0.30931,0.30793
,,,,,,
22,0.2,0.1,0.24359,0.25449,0.25771,0.24421
,,,,,,
22,0.6,0.1,0.24092,0.24854,0.25817,0.25237
,,,,,,
22,1,0.1,0.24437,0.24059,0.25919,0.25585
,,,,,,
22,0.2,0.4,0.21517,0.27082,0.28134,0.23267
,,,,,,
22,0.6,0.4,0.21672,0.2452,0.28311,0.25497
,,,,,,
22,1,0.4,0.21881,0.21572,0.28042,0.28505
,,,,,,
22,0.2,0.7,0.19114,0.28258,0.30861,0.21767
,,,,,,
22,0.6,0.7,0.19434,0.23805,0.30614,0.26147
,,,,,,
22,1,0.7,0.1927,0.19236,0.30562,0.30932
,,,,,,
23,0.2,0.1,0.2409,0.25539,0.25628,0.24743
,,,,,,
23,0.6,0.1,0.24067,0.24632,0.25816,0.25485
,,,,,,
23,1,0.1,0.24364,0.24151,0.25537,0.25948
,,,,,,
23,0.2,0.4,0.21572,0.26869,0.28581,0.22978
,,,,,,
23,0.6,0.4,0.21574,0.24201,0.28435,0.2579
,,,,,,
23,1,0.4,0.21668,0.21551,0.28458,0.28323
,,,,,,
23,0.2,0.7,0.1932,0.28385,0.30675,0.2162
,,,,,,
23,0.6,0.7,0.19214,0.23574,0.30855,0.26357
,,,,,,
23,1,0.7,0.19282,0.18993,0.30931,0.30794
,,,,,,
24,0.2,0.1,0.24148,0.25453,0.25717,0.24682
,,,,,,
24,0.6,0.1,0.23928,0.24648,0.26229,0.25195
,,,,,,
24,1,0.1,0.24424,0.23998,0.25637,0.25941
,,,,,,
24,0.2,0.4,0.21707,0.26976,0.28281,0.23036
,,,,,,
24,0.6,0.4,0.21658,0.24228,0.28454,0.2566
,,,,,,
24,1,0.4,0.21653,0.2197,0.28431,0.27946
,,,,,,
24,0.2,0.7,0.19184,0.28272,0.3093,0.21614
,,,,,,
24,0.6,0.7,0.19276,0.2374,0.30907,0.26077
,,,,,,
24,1,0.7,0.19051,0.19289,0.30961,0.30699
,,,,,,
25,0.2,0.1,0.24147,0.25601,0.2572,0.24532
,,,,,,
25,0.6,0.1,0.24002,0.25072,0.25799,0.25127
,,,,,,
25,1,0.1,0.23857,0.24281,0.25879,0.25983
,,,,,,
25,0.2,0.4,0.21643,0.27036,0.28303,0.23018
,,,,,,
25,0.6,0.4,0.21656,0.24088,0.28497,0.25759
,,,,,,
25,1,0.4,0.21824,0.21413,0.28221,0.28542
,,,,,,
25,0.2,0.7,0.19252,0.28348,0.31013,0.21387
,,,,,,
25,0.6,0.7,0.19446,0.23619,0.30951,0.25984
,,,,,,
25,1,0.7,0.19053,0.19196,0.3085,0.30901
,,,,,,
26,0.2,0.1,0.24031,0.25567,0.2573,0.24672
,,,,,,
26,0.6,0.1,0.24095,0.25009,0.25883,0.25013
,,,,,,
26,1,0.1,0.24283,0.24135,0.25699,0.25883
,,,,,,
26,0.2,0.4,0.21644,0.26899,0.28302,0.23155
,,,,,,
26,0.6,0.4,0.21632,0.24413,0.28421,0.25534
,,,,,,
26,1,0.4,0.21851,0.21635,0.28159,0.28355
,,,,,,
26,0.2,0.7,0.1939,0.28281,0.3081,0.21519
,,,,,,
26,0.6,0.7,0.19236,0.23775,0.31089,0.259
,,,,,,
26,1,0.7,0.19236,0.19159,0.30971,0.30634
,,,,,,
27,0.2,0.1,0.24295,0.25545,0.25691,0.24469
,,,,,,
27,0.6,0.1,0.23919,0.25097,0.26006,0.24978
,,,,,,
27,1,0.1,0.24306,0.24252,0.25725,0.25717
,,,,,,
27,0.2,0.4,0.21778,0.269,0.28632,0.2269
,,,,,,
27,0.6,0.4,0.2172,0.24151,0.28242,0.25887
,,,,,,
27,1,0.4,0.21745,0.21545,0.28179,0.28531
,,,,,,
27,0.2,0.7,0.18964,0.28593,0.30992,0.21451
,,,,,,
27,0.6,0.7,0.19182,0.23813,0.30873,0.26132
,,,,,,
27,1,0.7,0.19353,0.19334,0.30569,0.30744
,,,,,,
28,0.2,0.1,0.24221,0.25398,0.25853,0.24528
,,,,,,
28,0.6,0.1,0.24146,0.24747,0.25965,0.25142
,,,,,,
28,1,0.1,0.24367,0.24102,0.25685,0.25846
,,,,,,
28,0.2,0.4,0.21785,0.26692,0.28349,0.23174
,,,,,,
28,0.6,0.4,0.21675,0.24267,0.28338,0.2572
,,,,,,
28,1,0.4,0.21556,0.21586,0.2823,0.28628
,,,,,,
28,0.2,0.7,0.19479,0.28291,0.3079,0.2144
,,,,,,
28,0.6,0.7,0.19136,0.23707,0.30894,0.26263
,,,,,,
28,1,0.7,0.19235,0.18937,0.30905,0.30923
,,,,,,
29,0.2,0.1,0.24147,0.25576,0.26154,0.24123
,,,,,,
29,0.6,0.1,0.24207,0.246,0.25924,0.25269
,,,,,,
29,1,0.1,0.24206,0.24076,0.25707,0.26011
,,,,,,
29,0.2,0.4,0.21754,0.26976,0.28285,0.22985
,,,,,,
29,0.6,0.4,0.21598,0.24398,0.28498,0.25506
,,,,,,
29,1,0.4,0.2173,0.21548,0.28141,0.28581
,,,,,,
29,0.2,0.7,0.19173,0.28228,0.31005,0.21594
,,,,,,
29,0.6,0.7,0.18977,0.23687,0.30917,0.26419
,,,,,,
29,1,0.7,0.19178,0.19083,0.30785,0.30954
,,,,,,
30,0.2,0.1,0.24097,0.25492,0.25989,0.24422
,,,,,,
30,0.6,0.1,0.2413,0.24988,0.25754,0.25128
,,,,,,
30,1,0.1,0.24143,0.2414,0.25729,0.25988
,,,,,,
30,0.2,0.4,0.21696,0.27101,0.28339,0.22864
,,,,,,
30,0.6,0.4,0.21592,0.24445,0.28387,0.25576
,,,,,,
30,1,0.4,0.21745,0.21616,0.2816,0.28479
,,,,,,
30,0.2,0.7,0.193,0.28651,0.30429,0.2162
,,,,,,
30,0.6,0.7,0.19264,0.23868,0.3069,0.26178
